id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sale_year,sale_month,sale_day,renovated,low_grade,high_grade,sqft_living_x_grade,waterfront_x_sqft_living,has_basement,age_at_sale,median_income,avg_household_size_2015,percent_married_2015,housing_units_2015,percent_owner_occupied_2015,percent_renter_occupied_2015,unemployment_rate_2015,percent_hs_grad_or_higher_2015,percent_bachelors_or_higher_2015,avg_household_size_2014,percent_married_2014,housing_units_2014,percent_owner_occupied_2014,percent_renter_occupied_2014,unemployment_rate_2014,percent_hs_grad_or_higher_2014,percent_bachelors_or_higher_2014
2591820310,2014-10-06,4,2.25,2070,8893,2.0,0,0,4,8,2070,0,1986,0,98058,47.4388,-122.162,2390,7700,2014,10,0,0,0,0,16560,0,0,28,106611,2.78,15.935921408835924,16692,73.01956836343044,26.980431636569556,5.35431150140261,97.63669462323647,42.85157011897796,2.74,16.106225715036956,16367,72.2486806538808,27.751319346119192,6.590114827758363,97.51918859649122,44.01041666666667
7974200820,2014-08-21,5,3.0,2900,6730,1.0,0,0,5,8,1830,1070,1977,0,98115,47.6784,-122.285,2370,6283,2014,8,3,0,0,0,23200,0,1,37,141013,2.36,20.038971348841685,22085,62.56938184923383,37.430618150766165,5.07985950029823,99.48958702950569,21.213527308458662,2.32,19.346653198985,21778,62.75248864405142,37.24751135594858,5.230427913543313,99.63049016040087,21.893457996248916
7701450110,2014-08-15,4,2.5,3770,10893,2.0,0,2,3,11,3770,0,1997,0,98006,47.5646,-122.129,3710,9685,2014,8,4,0,0,1,41470,0,0,17,185991,2.82,14.267360653577546,13727,77.46436154079466,22.535638459205337,6.640385009215646,100.15012703056432,27.042112556778815,2.81,13.709650387155165,13558,77.95756373072813,22.042436269271867,7.3147711184521,100.43854542632049,26.78619940233632
9522300010,2015-03-31,3,3.5,4560,14608,2.0,0,2,3,12,4560,0,1990,0,98034,47.6995,-122.228,4050,14226,2015,3,1,0,0,1,54720,0,0,25,119806,2.43,16.05333943799004,18001,61.237125332716126,38.76287466728388,6.750954198473283,99.64536699635606,34.17816241540864,2.44,17.057790319329666,18171,60.109001406469766,39.89099859353024,7.7933415340661085,99.85536782591545,35.227795674183156
9510861140,2014-07-14,3,2.5,2550,5376,2.0,0,0,3,9,2550,0,2004,0,98052,47.6647,-122.083,2250,4050,2014,7,0,0,0,0,22950,0,0,10,158457,2.49,16.67975909924064,26354,53.58728109111451,46.41271890888548,5.135890711012479,99.32081320083873,22.76187437323366,2.43,16.793908754119162,26472,53.10328204716185,46.896717952838145,5.753945061367621,99.18121641257467,25.27158244343474
1761300310,2014-08-27,4,2.0,1710,8288,1.5,0,0,3,7,1710,0,1970,0,98031,47.3947,-122.174,1710,7200,2014,8,2,0,0,0,11970,0,0,44,98657,2.97,17.82141658274589,12676,64.00824742268041,35.99175257731959,8.799066842478954,97.82912276247302,50.04020143032457,2.99,17.766172506738545,12903,63.46782097353806,36.53217902646194,10.101061398608502,97.60154576385098,48.943588020330154
7732410120,2014-08-19,4,2.5,2690,8036,2.0,0,0,4,9,2690,0,1987,0,98007,47.6596,-122.144,2420,8087,2014,8,1,0,0,0,24210,0,0,27,118634,2.48,20.499565396404225,11154,35.96800304732883,64.03199695267118,5.613278442135529,98.00031408679266,22.378683976338795,2.46,20.650383547461058,10912,35.5564209911401,64.4435790088599,7.187732216442614,98.34565872363737,24.130375239660367
7010701383,2014-10-17,3,2.5,1800,4400,1.0,0,0,5,7,1350,450,1970,0,98199,47.6599,-122.396,1920,4400,2014,10,4,0,0,0,12600,0,1,44,168132,2.27,15.401888530631044,9920,62.062574948217595,37.937425051782405,4.147350993377484,99.1690635985938,22.416107382550337,2.24,15.287600188590286,9908,63.396185047138786,36.603814952861214,4.887626368117638,99.1062108559499,21.711899791231733
291310170,2014-08-04,3,2.5,1600,2610,2.0,0,0,3,8,1600,0,2005,0,98027,47.5344,-122.068,1445,1288,2014,8,0,0,0,0,12800,0,0,9,140556,2.54,13.249890206411946,11360,71.30082050336497,28.699179496635015,4.680932365303783,100.03016439595798,34.07571263385451,2.48,13.001025458112265,11363,70.81061096219614,29.189389037803863,5.410590943975442,99.23960116829488,32.964044717494204
4232901990,2014-05-16,2,1.0,910,3600,1.0,0,0,4,7,910,0,1909,0,98119,47.6341,-122.361,1720,3600,2014,5,4,0,0,0,6370,0,0,105,112865,1.9,25.481150100191062,12166,40.59950184660311,59.40049815339689,4.838109415705247,98.6912347167212,21.78979392686987,1.89,25.428950611432366,12075,40.114135206321336,59.885864793678664,5.074963929489995,99.02767835838702,20.561918396564067
